user_id,book_id,rating,goodreads_book_id_x,best_book_id,work_id,books_count,isbn,isbn13,authors,original_publication_year,original_title,title,language_code,average_rating,ratings_count,work_ratings_count,work_text_reviews_count,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5,image_url,small_image_url,goodreads_book_id_y,tag_name
9153,400,4,22328,888628,909457,143,441569595,9780441569600.0,William Gibson,1984.0,Neuromancer,Neuromancer,eng,3.88,183878,202417,6623,9313,14728,40328,65376,72672,https://images.gr-assets.com/books/1167348726m/22328.jpg,https://images.gr-assets.com/books/1167348726s/22328.jpg,400.0,"['Fiction', 'History']"
18651,117,5,18131,18131,948387,165,440498058,9780440498060.0,Madeleine L'Engle,1962.0,A Wrinkle in Time,"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)",en-US,4.04,615907,650094,19413,17313,34988,119115,209745,268933,https://images.gr-assets.com/books/1329061522m/18131.jpg,https://images.gr-assets.com/books/1329061522s/18131.jpg,117.0,"['Classic', 'Fantasy', 'Fiction']"
14181,8,4,5107,5107,3036731,360,316769177,9780316769170.0,J.D. Salinger,1951.0,The Catcher in the Rye,The Catcher in the Rye,eng,3.79,2044241,2120637,44920,109383,185520,455042,661516,709176,https://images.gr-assets.com/books/1398034300m/5107.jpg,https://images.gr-assets.com/books/1398034300s/5107.jpg,8.0,"['Classic', 'Fantasy', 'Fiction', 'Mystery']"
17972,30,5,8442457,19288043,13306276,196,297859382,9780297859380.0,Gillian Flynn,2012.0,Gone Girl,Gone Girl,eng,4.03,512475,1626519,121614,38874,80807,280331,616031,610476,https://images.gr-assets.com/books/1339602131m/8442457.jpg,https://images.gr-assets.com/books/1339602131s/8442457.jpg,30.0,"['Classic', 'Fantasy', 'Fiction', 'War']"
21667,4261,5,4600,4600,477124,13,689861133,9780689861130.0,Sandra Boynton,1982.0,"Moo, Baa, La La La!","Moo, Baa, La La La!",eng,4.19,26065,27425,500,415,1169,4888,7393,13560,https://images.gr-assets.com/books/1451996462m/4600.jpg,https://images.gr-assets.com/books/1451996462s/4600.jpg,4261.0,['Fiction']
44163,2279,4,27,27,3164459,57,380713802,9780380713810.0,Bill Bryson,1991.0,Neither Here Nor There: Travels in Europe,Neither Here nor There: Travels in Europe,en-US,3.88,42170,45390,2168,874,2545,11191,17477,13303,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2279.0,"['Bio-memoir', 'History', 'War']"
26788,67,4,128029,128029,3271379,197,1594489505,9781594489500.0,Khaled Hosseini,2007.0,A Thousand Splendid Suns,A Thousand Splendid Suns,eng,4.34,818742,866065,43645,6509,18015,99030,295817,446694,https://images.gr-assets.com/books/1345958969m/128029.jpg,https://images.gr-assets.com/books/1345958969s/128029.jpg,67.0,"['Fiction', 'History']"
52714,9567,3,11556960,11556960,16497151,22,374316414,9780374316420.0,Gennifer Albin,2012.0,Crewel,"Crewel (Crewel World, #1)",eng,3.74,14101,16145,2322,526,1367,4146,5804,4302,https://images.gr-assets.com/books/1376228331m/11556960.jpg,https://images.gr-assets.com/books/1376228331s/11556960.jpg,9567.0,"['Fantasy', 'Fiction']"
25180,6334,2,667234,667234,2244771,36,394800028,9780394800030.0,Dr. Seuss,1958.0,The Cat in the Hat Comes Back,The Cat in the Hat Comes Back,en-US,3.83,22229,22712,432,517,1886,6324,6309,7676,https://images.gr-assets.com/books/1332799738m/667234.jpg,https://images.gr-assets.com/books/1332799738s/667234.jpg,6334.0,"['Fantasy', 'Fiction', 'Mystery', 'Romance']"
33776,2,5,3,3,4640799,491,439554934,9780439554930.0,"J.K. Rowling, Mary GrandPré",1997.0,Harry Potter and the Philosopher's Stone,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",eng,4.44,4602479,4800065,75867,75504,101676,455024,1156318,3011543,https://images.gr-assets.com/books/1474154022m/3.jpg,https://images.gr-assets.com/books/1474154022s/3.jpg,2.0,"['Children-s-lit', 'Classic', 'Fantasy', 'Fiction', 'Kids', 'Mystery', 'Romance']"
5311,4948,4,2260637,2260637,2300926,60,446195979,9780446195970.0,David Baldacci,2008.0,The Whole Truth,"The Whole Truth (A. Shaw, #1)",eng,4.0,19171,22924,1252,212,737,5067,9753,7155,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,4948.0,"['Children-s-lit', 'Classic', 'Fantasy', 'Fiction', 'Kids']"
30109,21,5,2,2,2809203,307,439358078,9780439358070.0,"J.K. Rowling, Mary GrandPré",2003.0,Harry Potter and the Order of the Phoenix,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",eng,4.46,1735368,1840548,28685,9528,31577,180210,494427,1124806,https://images.gr-assets.com/books/1387141547m/2.jpg,https://images.gr-assets.com/books/1387141547s/2.jpg,21.0,"['Fiction', 'History']"
24717,5890,2,207034,207034,969,24,440421241,9780440421240.0,Jeanne DuPrau,2006.0,The Prophet of Yonwood,"The Prophet of Yonwood (Book of Ember, #3)",en-US,3.25,22237,23844,2106,1487,4480,8323,5642,3912,https://images.gr-assets.com/books/1320636285m/207034.jpg,https://images.gr-assets.com/books/1320636285s/207034.jpg,5890.0,"['Classic', 'Mystery', 'Romance']"
50870,2517,4,19494,19494,1177001,216,,9780743442530.0,John le Carré,1963.0,The Spy Who Came In from the Cold,The Spy Who Came In from the Cold,eng,4.05,37557,45652,2712,318,1680,8752,19424,15478,https://images.gr-assets.com/books/1327719782m/19494.jpg,https://images.gr-assets.com/books/1327719782s/19494.jpg,2517.0,"['Classic', 'Fiction', 'History', 'Mystery']"
39307,360,4,7082,7082,830939,221,345404475,9780345404470.0,"Philip K. Dick, Roger Zelazny",1968.0,Do Androids Dream of Electric Sheep?,Do Androids Dream of Electric Sheep?,eng,4.08,223828,245008,8330,2097,8453,45683,100794,87981,https://images.gr-assets.com/books/1435458683m/7082.jpg,https://images.gr-assets.com/books/1435458683s/7082.jpg,360.0,"['Classic', 'Fantasy', 'Fiction']"
47452,29,5,18135,18135,3349450,1937,743477111,9780743477120.0,"William Shakespeare, Robert           Jackson",1595.0,An Excellent conceited Tragedie of Romeo and Juliet,Romeo and Juliet,eng,3.73,1628519,1672889,14778,57980,153179,452673,519822,489235,https://images.gr-assets.com/books/1327872146m/18135.jpg,https://images.gr-assets.com/books/1327872146s/18135.jpg,29.0,['History']
7139,1,3,2767052,2767052,2792775,272,439023483,9780439023480.0,Suzanne Collins,2008.0,The Hunger Games,"The Hunger Games (The Hunger Games, #1)",eng,4.34,4780653,4942365,155254,66715,127936,560092,1481305,2706317,https://images.gr-assets.com/books/1447303603m/2767052.jpg,https://images.gr-assets.com/books/1447303603s/2767052.jpg,1.0,"['Children-s-lit', 'Fantasy', 'Fiction', 'Kids', 'Mystery', 'Romance']"
38490,9914,5,8702806,8702806,13575598,24,312651201,9780312651210.0,Iris Johansen,2011.0,,"Eve (Eve Duncan, #12; Eve, Quinn and Bonnie #1)",en-US,4.08,11020,12085,707,218,561,2213,4090,5003,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,9914.0,"['Fiction', 'Mystery']"
22599,9555,5,11942408,11942408,16903753,1,,9789776337590.0,عمرو سلامة,2011.0,شاب كشك في رحلة البحث عن الجادون,شاب كشك في رحلة البحث عن الجادون,ara,3.66,8128,8128,846,358,825,2179,2610,2156,https://images.gr-assets.com/books/1309784315m/11942408.jpg,https://images.gr-assets.com/books/1309784315s/11942408.jpg,9555.0,"['Fantasy', 'Fiction']"
43433,1,5,2767052,2767052,2792775,272,439023483,9780439023480.0,Suzanne Collins,2008.0,The Hunger Games,"The Hunger Games (The Hunger Games, #1)",eng,4.34,4780653,4942365,155254,66715,127936,560092,1481305,2706317,https://images.gr-assets.com/books/1447303603m/2767052.jpg,https://images.gr-assets.com/books/1447303603s/2767052.jpg,1.0,"['Children-s-lit', 'Fantasy', 'Fiction', 'Kids', 'Mystery', 'Romance']"
40429,21,5,2,2,2809203,307,439358078,9780439358070.0,"J.K. Rowling, Mary GrandPré",2003.0,Harry Potter and the Order of the Phoenix,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",eng,4.46,1735368,1840548,28685,9528,31577,180210,494427,1124806,https://images.gr-assets.com/books/1387141547m/2.jpg,https://images.gr-assets.com/books/1387141547s/2.jpg,21.0,"['Fiction', 'History']"
38240,13,4,5470,5470,153313,995,451524934,9780451524940.0,"George Orwell, Erich Fromm, Celâl Üster",1949.0,Nineteen Eighty-Four,1984,eng,4.14,1956832,2053394,45518,41845,86425,324874,692021,908229,https://images.gr-assets.com/books/1348990566m/5470.jpg,https://images.gr-assets.com/books/1348990566s/5470.jpg,13.0,"['Classic', 'Fantasy', 'Fiction']"
9646,33,3,930,929,1558965,220,739326228,9780739326220.0,Arthur Golden,1997.0,Memoirs of a Geisha,Memoirs of a Geisha,eng,4.08,1300209,1418172,25605,23500,59033,258700,517157,559782,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,33.0,"['Classic', 'Fantasy', 'Fiction', 'War']"
1169,36,5,3636,3636,2543234,192,385732554,9780385732550.0,Lois Lowry,1993.0,The Giver,"The Giver (The Giver, #1)",eng,4.12,1296825,1345445,54084,26497,59652,225326,448691,585279,https://images.gr-assets.com/books/1342493368m/3636.jpg,https://images.gr-assets.com/books/1342493368s/3636.jpg,36.0,"['Fantasy', 'Fiction', 'War']"
15358,30,4,8442457,19288043,13306276,196,297859382,9780297859380.0,Gillian Flynn,2012.0,Gone Girl,Gone Girl,eng,4.03,512475,1626519,121614,38874,80807,280331,616031,610476,https://images.gr-assets.com/books/1339602131m/8442457.jpg,https://images.gr-assets.com/books/1339602131s/8442457.jpg,30.0,"['Classic', 'Fantasy', 'Fiction', 'War']"
26251,24,5,6,6,3046572,332,439139600,9780439139600.0,"J.K. Rowling, Mary GrandPré",2000.0,Harry Potter and the Goblet of Fire,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",eng,4.53,1753043,1868642,31084,6676,20210,151785,494926,1195045,https://images.gr-assets.com/books/1361482611m/6.jpg,https://images.gr-assets.com/books/1361482611s/6.jpg,24.0,"['Bio-memoir', 'Fiction', 'History']"
22515,5068,5,210404,210404,321811,74,195007778,9780195007770.0,Aldo Leopold,1949.0,A Sand County Almanac,A Sand County Almanac and Sketches Here and There,,4.24,16792,19142,908,184,601,2919,6156,9282,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,5068.0,['Fiction']
8228,2175,3,16130,16130,1205304,6,143034758,9780143034760.0,Ron Chernow,2004.0,Alexander Hamilton,Alexander Hamilton,eng,4.26,46198,51554,4162,1034,1503,6338,17059,25620,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,2175.0,"['Classic', 'Fiction', 'Romance']"
18710,4031,5,33455,33455,3135654,27,60735449,9780060735450.0,"Christopher Moore, Oliver Wyman",1997.0,Island of the Sequined Love Nun,Island of the Sequined Love Nun,en-GB,3.78,25166,26364,1243,333,1661,7793,10233,6344,https://images.gr-assets.com/books/1168444146m/33455.jpg,https://images.gr-assets.com/books/1168444146s/33455.jpg,4031.0,"['Fantasy', 'Fiction', 'Mystery']"
3133,13,4,5470,5470,153313,995,451524934,9780451524940.0,"George Orwell, Erich Fromm, Celâl Üster",1949.0,Nineteen Eighty-Four,1984,eng,4.14,1956832,2053394,45518,41845,86425,324874,692021,908229,https://images.gr-assets.com/books/1348990566m/5470.jpg,https://images.gr-assets.com/books/1348990566s/5470.jpg,13.0,"['Classic', 'Fantasy', 'Fiction']"
45400,4599,5,8069828,8069828,12770588,16,1423144333,9781423144340.0,Cinda Williams Chima,2012.0,The Crimson Crown,"The Crimson Crown (Seven Realms, #4)",eng,4.48,27279,28763,2208,216,415,2352,8063,17717,https://images.gr-assets.com/books/1345041697m/8069828.jpg,https://images.gr-assets.com/books/1345041697s/8069828.jpg,4599.0,"['Fantasy', 'Fiction', 'History', 'Mystery', 'Romance']"
10690,122,2,37442,37442,1479280,80,60987103,9780060987110.0,"Gregory Maguire, Douglas Smith",1995.0,Wicked: The Life and Times of the Wicked Witch of the West,"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)",eng,3.52,506900,525498,22926,40802,65835,132061,153583,133217,https://images.gr-assets.com/books/1437733293m/37442.jpg,https://images.gr-assets.com/books/1437733293s/37442.jpg,122.0,"['Classic', 'Fiction', 'History', 'War']"
8754,4137,2,2145681,2145681,2216670,31,312342020,9780312342030.0,Augusten Burroughs,2008.0,A Wolf at the Table,A Wolf at the Table,eng,3.7,22175,23524,1876,672,2072,6735,8114,5931,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,4137.0,"['Bio-memoir', 'Fiction']"
32380,29,3,18135,18135,3349450,1937,743477111,9780743477120.0,"William Shakespeare, Robert           Jackson",1595.0,An Excellent conceited Tragedie of Romeo and Juliet,Romeo and Juliet,eng,3.73,1628519,1672889,14778,57980,153179,452673,519822,489235,https://images.gr-assets.com/books/1327872146m/18135.jpg,https://images.gr-assets.com/books/1327872146s/18135.jpg,29.0,['History']
8739,26,4,968,968,2982101,350,307277674,9780307277670.0,Dan Brown,2003.0,The Da Vinci Code,"The Da Vinci Code (Robert Langdon, #2)",eng,3.79,1447148,1557292,41560,71345,126493,340790,539277,479387,https://images.gr-assets.com/books/1303252999m/968.jpg,https://images.gr-assets.com/books/1303252999s/968.jpg,26.0,"['Bio-memoir', 'Fiction', 'History']"
28935,8,4,5107,5107,3036731,360,316769177,9780316769170.0,J.D. Salinger,1951.0,The Catcher in the Rye,The Catcher in the Rye,eng,3.79,2044241,2120637,44920,109383,185520,455042,661516,709176,https://images.gr-assets.com/books/1398034300m/5107.jpg,https://images.gr-assets.com/books/1398034300s/5107.jpg,8.0,"['Classic', 'Fantasy', 'Fiction', 'Mystery']"
16131,930,5,1736739,1736739,3263906,87,140006208X,9781400062090.0,Elizabeth Strout,2008.0,Olive Kitteridge,Olive Kitteridge,eng,3.78,85019,108518,14175,2907,8772,26625,41160,29054,https://images.gr-assets.com/books/1320430655m/1736739.jpg,https://images.gr-assets.com/books/1320430655s/1736739.jpg,930.0,"['Classic', 'Fiction', 'History', 'Romance', 'War']"
19242,2,5,3,3,4640799,491,439554934,9780439554930.0,"J.K. Rowling, Mary GrandPré",1997.0,Harry Potter and the Philosopher's Stone,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",eng,4.44,4602479,4800065,75867,75504,101676,455024,1156318,3011543,https://images.gr-assets.com/books/1474154022m/3.jpg,https://images.gr-assets.com/books/1474154022s/3.jpg,2.0,"['Children-s-lit', 'Classic', 'Fantasy', 'Fiction', 'Kids', 'Mystery', 'Romance']"
34644,7707,5,297186,297186,1026877,38,2266120921,9782266120920.0,Robert Crais,1999.0,L.A. Requiem,"L.A. Requiem (Elvis Cole, #8)",fre,4.26,12632,14156,493,72,212,1810,5924,6138,https://images.gr-assets.com/books/1328900044m/297186.jpg,https://images.gr-assets.com/books/1328900044s/297186.jpg,7707.0,"['Classic', 'Fiction', 'Romance']"
35853,28,3,7624,7624,2766512,458,140283331,9780140283330.0,William Golding,1954.0,Lord of the Flies ,Lord of the Flies,eng,3.64,1605019,1671484,26886,92779,160295,425648,564916,427846,https://images.gr-assets.com/books/1327869409m/7624.jpg,https://images.gr-assets.com/books/1327869409s/7624.jpg,28.0,"['Bio-memoir', 'Fiction', 'History']"
20316,8,4,5107,5107,3036731,360,316769177,9780316769170.0,J.D. Salinger,1951.0,The Catcher in the Rye,The Catcher in the Rye,eng,3.79,2044241,2120637,44920,109383,185520,455042,661516,709176,https://images.gr-assets.com/books/1398034300m/5107.jpg,https://images.gr-assets.com/books/1398034300s/5107.jpg,8.0,"['Classic', 'Fantasy', 'Fiction', 'Mystery']"
29912,360,5,7082,7082,830939,221,345404475,9780345404470.0,"Philip K. Dick, Roger Zelazny",1968.0,Do Androids Dream of Electric Sheep?,Do Androids Dream of Electric Sheep?,eng,4.08,223828,245008,8330,2097,8453,45683,100794,87981,https://images.gr-assets.com/books/1435458683m/7082.jpg,https://images.gr-assets.com/books/1435458683s/7082.jpg,360.0,"['Classic', 'Fantasy', 'Fiction']"
32468,357,4,355697,355697,2662852,372,449213943,9780449213940.0,"Erich Maria Remarque, A.W. Wheen",1929.0,Im Westen nichts Neues,All Quiet on the Western Front,en-US,3.92,249113,265789,6947,7646,17740,55908,90874,93621,https://images.gr-assets.com/books/1441227765m/355697.jpg,https://images.gr-assets.com/books/1441227765s/355697.jpg,357.0,"['Fantasy', 'Fiction', 'Mystery']"
8793,1067,5,6422,6422,2322486,59,312966970,9780312966970.0,Janet Evanovich,1998.0,Four to Score ,"Four to Score (Stephanie Plum, #4)",en-US,4.17,106871,111633,2527,286,1886,20825,44410,44226,https://images.gr-assets.com/books/1311983211m/6422.jpg,https://images.gr-assets.com/books/1311983211s/6422.jpg,1067.0,"['Fiction', 'History', 'War']"
